date;hours;buy_volume;sell_volume;volume;price
2021-09-20;0 - 1;15,681.8;16,756.7;16,756.7;101.79
2021-09-20;1 - 2;15,620.5;16,221.5;16,221.5;96.04
2021-09-20;2 - 3;15,965.5;16,702.6;16,702.6;98.74
2021-09-20;3 - 4;15,239.7;16,492.1;16,492.1;98.56
2021-09-20;4 - 5;15,460.0;16,072.3;16,072.3;93.87
2021-09-20;5 - 6;16,023.8;15,861.6;16,023.8;118.20
2021-09-20;6 - 7;17,647.2;14,609.7;17,647.2;161.33
2021-09-20;7 - 8;18,578.4;17,197.5;18,578.4;179.52
2021-09-20;8 - 9;21,870.2;20,030.5;21,870.2;188.64
2021-09-20;9 - 10;22,392.1;22,123.2;22,392.1;180.00
2021-09-20;10 - 11;23,734.8;24,460.3;24,460.3;172.67
2021-09-20;11 - 12;24,470.7;25,659.1;25,659.1;164.00
2021-09-20;12 - 13;24,513.7;26,832.1;26,832.1;155.00
2021-09-20;13 - 14;24,538.7;26,602.8;26,602.8;149.76
2021-09-20;14 - 15;24,742.5;25,710.3;25,710.3;142.28
2021-09-20;15 - 16;24,620.2;23,952.1;24,620.2;151.22
2021-09-20;16 - 17;24,036.1;22,200.7;24,036.1;162.88
2021-09-20;17 - 18;23,246.4;20,667.8;23,246.4;172.33
2021-09-20;18 - 19;22,146.0;18,466.0;22,146.0;179.98
2021-09-20;19 - 20;22,311.6;18,947.5;22,311.6;205.00
2021-09-20;20 - 21;18,339.8;17,477.0;18,339.8;185.80
2021-09-20;21 - 22;17,145.7;16,012.6;17,145.7;171.15
2021-09-20;22 - 23;16,457.3;16,730.1;16,730.1;154.53
2021-09-20;23 - 24;16,446.7;16,442.2;16,446.7;133.48
